"field_date","time","site_reach","pH","temp_C","DO_mg_L","cond_uS_cm"
2022-06-24,"18:00","RUS-1S","NA",24.82,"9.052","NA"
2022-06-27,"10:30","SAL-1S","NA",19.81,"9.442","NA"
2022-06-27,"14:30","SAL-3","NA",20.49,"9.492","NA"
2022-06-29,"09:45","SFE-M-1S","NA",20.33,"8.374","NA"
2022-06-29,"13:45","SFE-M-3","NA",23.6,"9.793","NA"
2022-06-29,"16:30","SFE-M-4","NA",25.43,"10.132","NA"
2022-07-06,"11:15","RUS-1S","NA",21.4,"9.181","266.1"
2022-07-06,"15:00","RUS-2","NA",22.84,"9.346","267.2"
2022-07-07,"16:00","RUS-3","NA",23.76,"11.759","267.1"
2022-07-12,"07:30","SAL-1S","NA",20.52,"8.904","108.5"
2022-07-12,"11:45","SAL-2","NA",21.64,"9.171","110.6"
2022-07-12,"14:45","SAL-3","NA",22.59,"9.087","113.3"
2022-07-14,"09:45","SFE-M-1S","NA",21.71,"9.507","223.3"
2022-07-14,"13:30","SFE-M-3","NA",23.63,"10.255","229.6"
2022-07-14,"16:00","SFE-M-4","NA",25.72,"11.059","236.2"
2022-07-20,"10:00","RUS-1S","NA",22.22,"9.587","265.7"
2022-07-20,"13:30","RUS-2","NA",23.75,"9.567","267.8"
2022-07-20,"15:30","RUS-3","NA",24.68,"11.067","266.2"
2022-07-26,"07:00","SAL-1S","NA",21.41,"8.59","121.2"
2022-07-26,"09:45","SAL-2","NA",21.52,"9.069","120.6"
2022-07-26,"11:30","SAL-3","NA",22.13,"9.215","121.5"
2022-07-28,"10:00","SFE-M-1S","8.9",24.49,"9.364","216.4"
2022-07-28,"14:15","SFE-M-3","8.88",25.83,"10.77","216.9"
2022-07-28,"17:00","SFE-M-4","9.14",28.48,"9.673","218.7"
2022-08-02,"09:45","RUS-1S","8.07",21.8,"8.493","251.5"
2022-08-02,"14:00","RUS-2","8.25",23.41,"9.734","255.9"
2022-08-02,"15:45","RUS-3","8.4",24.27,"13.04","255.9"
2022-08-10,"09:30","SFE-M-1S","8.55",21.81,"8.855","230.6"
