"field_date","site_reach","site","green_algae","microcoleus","anabaena_cylindrospermum","bare_biofilm","other_nfixers","average_depth_cm_sampled","median_depth_cm_sampled","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","DIN_mg_N_L","TDC_mg_L","DOC_mg_L","GPP_mean_fourdaysprior","GPP_median_fourdaysprior","discharge_m3_s","resp_M_cover_norm","resp_AC_cover_norm","resp_M_cover_stnd","resp_AC_cover_stnd","resp_M_pres_norm","resp_AC_pres_norm","resp_M_pres_stnd","resp_AC_pres_stnd","resp_M_atx_raw","resp_AC_atx_raw","resp_M_atx_norm","resp_AC_atx_norm","resp_M_atx_stnd","resp_AC_atx_stnd"
2023-06-25,"SFE-SH-1S","SFE-SH",-0.983080230482205,-0.590420628653182,-0.542301105827148,1.06935858255361,-1.16327052376377,0.833614886525815,2.3271870213534,-1.27831068691868,-1.99671532625042,1.30374893593998,-1.74522212357543,0.734265890424488,0.128627980774986,0.50751029037564,0.251956791137074,1.10296176339105,0.742210472922292,NA,NA,2.53160917965486,0,0,-0.590420628653182,-0.542301105827148,12.5,0,-1.15321426790504,-0.872732630469705,0,0,0,0,-0.750038468541279,-0.552541824286997
2023-07-03,"SFE-SH-1S","SFE-SH",-1.27704985280116,-0.590420628653182,-0.542301105827148,1.30812273162734,0.208164198989306,0.376415794121972,0.652482342435533,-1.78963496168616,0.593850678927926,-1.0495588918259,-1.33431600909842,0.226253615178845,-0.771767884649918,0.557593542715341,-0.542784716548351,-1.78794259991678,1.15348632118628,-1.06290206892357,-1.12060927361832,1.32930405825488,0,0,-0.590420628653182,-0.542301105827148,12.5,0,-1.15321426790504,-0.872732630469705,0,0,0,0,-0.750038468541279,-0.552541824286997
2023-07-11,"SFE-SH-1S","SFE-SH",-0.897561794898509,-0.590420628653182,-0.542301105827148,0.93219619904317,0.72245222002171,0.689236225766717,0.804728222337158,0.766986412151207,-0.189343694730645,0.729771416972696,-1.01296635546897,-0.637367252738745,-0.571679914555495,-1.25875907547116,-0.851701189592178,-0.506138435914784,-0.130192841577073,-0.231160251632117,-0.258375120957851,0.998160698547261,0,0,-0.590420628653182,-0.542301105827148,37.5,0,-0.532252739033094,-0.872732630469705,0,0,0,0,-0.750038468541279,-0.552541824286997
2023-07-17,"SFE-SH-1S","SFE-SH",-0.673075901491311,-0.0466121548936735,-0.542301105827148,0.678191785134951,-0.477553162387231,0.857677996652336,0.500236462533909,0.426103562306218,1.01557072628254,-0.819967884238982,-1.00243030125161,-0.449214558203323,-0.771767884649918,-1.25875907547116,-1.03130379019905,-1.02846415506118,-0.0429525101271371,1.37224590796252,1.40381321999966,0.422480703978634,16.3043478260869,0,-0.0466121548936735,-0.542301105827148,75,0,0.399189554274821,-0.872732630469705,0,0,0,0,-0.750038468541279,-0.552541824286997
2023-07-24,"SFE-SH-1S","SFE-SH",0.743323187863634,-0.409151137400012,-0.232414759640206,-0.647711255465962,0.208164198989306,1.65176063082744,0.19574470273066,1.61919353676364,0.774587842079904,-0.437316204927456,-0.68634867473083,-1.52168491705523,-1.27198780988598,-0.814687571392475,-1.36087456231267,-0.413467743808166,1.340429888579,1.19463055108982,1.21968633885841,0.0658647781396475,5.43478260869566,10,-0.409151137400012,-0.232414759640206,62.5000000000001,44.4444444444445,0.0887087898388512,0.44815999943039,0,0.3324602,0,1.53439052342965,-0.750038468541279,-0.505604147770899
2023-07-31,"SFE-SH-1S","SFE-SH",0.679184361175862,-0.590420628653182,-0.387357932733677,-0.556269666459005,0.208164198989306,0.785488666272773,0.347990582632284,-0.255662137383746,0.473359236826608,-0.284255533202846,-0.580988132557238,-1.13503112978494,-1.27198780988598,-1.0333844399425,-1.41969441401142,0.538513002378006,1.41209158941288,1.70327674614123,1.57141192540907,-0.132821237684925,0,4.99999999999999,-0.590420628653182,-0.387357932733677,25,44.4444444444445,-0.842733503469067,0.44815999943039,0.1919695,0.3124548,1.59468617317593,1.44206038533366,-0.710113541954641,-0.508428567036048
2023-08-07,"SFE-SH-1S","SFE-SH",-0.88152708822657,-0.590420628653182,1.93678966366838,0.845834698314377,0.379593539333441,0.32828957386893,0.0434988228290354,-0.59654498722872,0.955325005231882,-1.10695664372263,0.525297560265481,-1.20182533634501,-1.07189983979155,1.7662693658468,-0.48710791036022,0.0667349334715849,0.605118523500963,0.661886231820016,0.656601522060907,-0.377357872545938,0,79.9999999999997,-0.590420628653182,1.93678966366838,0,66.6666666666666,-1.46369503234101,1.10860631438043,0,3.4811778,0,16.0665433838206,-0.750038468541279,-0.0610592423977278
2023-08-14,"SFE-SH-1S","SFE-SH",-0.566177857011694,-0.590420628653182,2.55656235604228,0.459747989173881,2.60817496380719,0.0635953624772267,0.19574470273066,-0.766986412151207,1.31679933153584,-1.18348697958493,0.894059457873054,-0.524475636017492,1.42919978638874,0.797993153945907,1.49750082634576,-0.830485858287949,-0.236127529766282,0.562498713146176,0.562243954927126,-0.545476809012885,0,100,-0.590420628653182,2.55656235604228,12.5,100,-1.15321426790504,2.09927578680551,0,21.667248,0,100,-0.750038468541279,2.50650186761381
2023-08-22,"SFE-SH-1S","SFE-SH",-0.812043359314817,-0.372897239149378,0.387357932733677,0.825514345201717,-0.477553162387231,-0.947055262836543,-1.02222233648234,-1.1078692619962,0.35286779472529,-1.37481281924069,0.999420000046647,2.0080596324293,1.72933174153037,-0.0600999028076414,1.53611538547624,0.0519918688182591,-0.516542880855364,-0.595289474144759,-0.213411493395784,-0.484342650297632,6.52173913043478,29.9999999999999,-0.372897239149378,0.387357932733677,87.5,44.4444444444445,0.709670318710794,0.44815999943039,2.2097378,15.7586873,18.356240527814,72.7304515091164,-0.290467445849038,1.6723144646936
2023-08-28,"SFE-SH-1S","SFE-SH",0.272971792153313,-0.191627747896208,-0.542301105827148,-0.200663486987493,-0.477553162387231,-0.177035738787955,-0.260992936974214,0.59654498722872,0.0516391894719935,0.787169168869426,1.10478054222024,0.715450620970944,1.02902384619989,-0.26377179565576,0.852727490167074,-0.49350152335479,0.299777363426185,-0.0454172650675331,-0.0638412373583939,-0.637178047085765,11.9565217391304,0,-0.191627747896208,-0.542301105827148,100,0,1.02015108314677,-0.872732630469705,9.4798359,0,78.7487764134759,0,1.22153385081608,-0.552541824286997
