"predicting","model_name","site_reach","rhat_above_1.05","divergent_transitions","num_divergent"
"M_cover","all","SFE-M-1S",FALSE,FALSE,0
"M_cover","all","SFE-M-2",TRUE,FALSE,0
"M_cover","all","SFE-M-3",TRUE,TRUE,356
"M_cover","all","SFE-M-4",FALSE,FALSE,0
"M_cover","all","SFE-SH-1S",FALSE,FALSE,0
"M_cover","biochemical","SFE-M-1S",FALSE,FALSE,0
"M_cover","biochemical","SFE-M-2",FALSE,FALSE,0
"M_cover","biochemical","SFE-M-3",FALSE,FALSE,0
"M_cover","biochemical","SFE-M-4",FALSE,FALSE,0
"M_cover","biochemical","SFE-SH-1S",FALSE,FALSE,0
"M_cover","biological","SFE-M-1S",FALSE,FALSE,0
"M_cover","biological","SFE-M-2",FALSE,FALSE,0
"M_cover","biological","SFE-M-3",FALSE,FALSE,0
"M_cover","biological","SFE-M-4",FALSE,FALSE,0
"M_cover","biological","SFE-SH-1S",FALSE,FALSE,0
"M_cover","chemical","SFE-M-1S",FALSE,FALSE,0
"M_cover","chemical","SFE-M-2",FALSE,FALSE,0
"M_cover","chemical","SFE-M-3",FALSE,FALSE,0
"M_cover","chemical","SFE-M-4",FALSE,FALSE,0
"M_cover","chemical","SFE-SH-1S",FALSE,FALSE,0
"M_cover","ecohydrological","SFE-M-1S",FALSE,FALSE,0
"M_cover","ecohydrological","SFE-M-2",FALSE,FALSE,0
"M_cover","ecohydrological","SFE-M-3",FALSE,FALSE,0
"M_cover","ecohydrological","SFE-M-4",FALSE,FALSE,0
"M_cover","ecohydrological","SFE-SH-1S",FALSE,FALSE,0
"M_cover","physical","SFE-M-1S",FALSE,FALSE,0
"M_cover","physical","SFE-M-2",FALSE,FALSE,0
"M_cover","physical","SFE-M-3",FALSE,FALSE,0
"M_cover","physical","SFE-M-4",FALSE,FALSE,0
"M_cover","physical","SFE-SH-1S",FALSE,FALSE,0
"M_cover","physicochemical","SFE-M-1S",FALSE,FALSE,0
"M_cover","physicochemical","SFE-M-2",FALSE,FALSE,0
"M_cover","physicochemical","SFE-M-3",TRUE,TRUE,242
"M_cover","physicochemical","SFE-M-4",FALSE,FALSE,0
"M_cover","physicochemical","SFE-SH-1S",FALSE,FALSE,0
"AC_cover","all","SFE-M-1S",TRUE,TRUE,7961
"AC_cover","all","SFE-M-2",FALSE,FALSE,0
"AC_cover","all","SFE-M-3",FALSE,TRUE,1
"AC_cover","all","SFE-M-4",FALSE,FALSE,0
"AC_cover","all","SFE-SH-1S",FALSE,FALSE,0
"AC_cover","biochemical","SFE-M-1S",FALSE,TRUE,5127
"AC_cover","biochemical","SFE-M-2",FALSE,FALSE,0
"AC_cover","biochemical","SFE-M-3",FALSE,FALSE,0
"AC_cover","biochemical","SFE-M-4",FALSE,FALSE,0
"AC_cover","biochemical","SFE-SH-1S",FALSE,FALSE,0
"AC_cover","biological","SFE-M-1S",FALSE,TRUE,1127
"AC_cover","biological","SFE-M-2",FALSE,FALSE,0
"AC_cover","biological","SFE-M-3",FALSE,FALSE,0
"AC_cover","biological","SFE-M-4",FALSE,FALSE,0
"AC_cover","biological","SFE-SH-1S",FALSE,FALSE,0
"AC_cover","chemical","SFE-M-1S",FALSE,FALSE,0
"AC_cover","chemical","SFE-M-2",FALSE,FALSE,0
"AC_cover","chemical","SFE-M-3",FALSE,FALSE,0
"AC_cover","chemical","SFE-M-4",FALSE,FALSE,0
"AC_cover","chemical","SFE-SH-1S",FALSE,FALSE,0
"AC_cover","ecohydrological","SFE-M-1S",FALSE,TRUE,11338
"AC_cover","ecohydrological","SFE-M-2",FALSE,FALSE,0
"AC_cover","ecohydrological","SFE-M-3",FALSE,FALSE,0
"AC_cover","ecohydrological","SFE-M-4",FALSE,TRUE,2
"AC_cover","ecohydrological","SFE-SH-1S",FALSE,FALSE,0
"AC_cover","physical","SFE-M-1S",FALSE,TRUE,18
"AC_cover","physical","SFE-M-2",FALSE,FALSE,0
"AC_cover","physical","SFE-M-3",FALSE,FALSE,0
"AC_cover","physical","SFE-M-4",FALSE,FALSE,0
"AC_cover","physical","SFE-SH-1S",FALSE,FALSE,0
"AC_cover","physicochemical","SFE-M-1S",TRUE,TRUE,116
"AC_cover","physicochemical","SFE-M-2",FALSE,FALSE,0
"AC_cover","physicochemical","SFE-M-3",FALSE,FALSE,0
"AC_cover","physicochemical","SFE-M-4",FALSE,FALSE,0
"AC_cover","physicochemical","SFE-SH-1S",FALSE,FALSE,0
"M_atx","all","SFE-M-1S",FALSE,TRUE,14814
"M_atx","all","SFE-M-2",FALSE,TRUE,14585
"M_atx","all","SFE-M-3",FALSE,TRUE,14651
"M_atx","all","SFE-M-4",FALSE,TRUE,14361
"M_atx","all","SFE-SH-1S",FALSE,TRUE,14389
"M_atx","all_w_cover","SFE-M-1S",FALSE,TRUE,14680
"M_atx","all_w_cover","SFE-M-2",FALSE,TRUE,14272
"M_atx","all_w_cover","SFE-M-3",FALSE,TRUE,14666
"M_atx","all_w_cover","SFE-M-4",TRUE,TRUE,14858
"M_atx","all_w_cover","SFE-SH-1S",FALSE,TRUE,14268
"M_atx","biochemical","SFE-M-1S",FALSE,FALSE,0
"M_atx","biochemical","SFE-M-2",FALSE,FALSE,0
"M_atx","biochemical","SFE-M-3",FALSE,FALSE,0
"M_atx","biochemical","SFE-M-4",FALSE,FALSE,0
"M_atx","biochemical","SFE-SH-1S",FALSE,FALSE,0
"M_atx","biochemical_w_cover","SFE-M-1S",FALSE,FALSE,0
"M_atx","biochemical_w_cover","SFE-M-2",FALSE,FALSE,0
"M_atx","biochemical_w_cover","SFE-M-3",FALSE,FALSE,0
"M_atx","biochemical_w_cover","SFE-M-4",FALSE,FALSE,0
"M_atx","biochemical_w_cover","SFE-SH-1S",FALSE,TRUE,3
"M_atx","biological","SFE-M-1S",FALSE,FALSE,0
"M_atx","biological","SFE-M-2",FALSE,FALSE,0
"M_atx","biological","SFE-M-3",FALSE,FALSE,0
"M_atx","biological","SFE-M-4",FALSE,FALSE,0
"M_atx","biological","SFE-SH-1S",FALSE,FALSE,0
"M_atx","biological_w_cover","SFE-M-1S",FALSE,FALSE,0
"M_atx","biological_w_cover","SFE-M-2",FALSE,FALSE,0
"M_atx","biological_w_cover","SFE-M-3",FALSE,FALSE,0
"M_atx","biological_w_cover","SFE-M-4",FALSE,FALSE,0
"M_atx","biological_w_cover","SFE-SH-1S",FALSE,FALSE,0
"M_atx","chemical","SFE-M-1S",FALSE,FALSE,0
"M_atx","chemical","SFE-M-2",FALSE,FALSE,0
"M_atx","chemical","SFE-M-3",FALSE,FALSE,0
"M_atx","chemical","SFE-M-4",FALSE,FALSE,0
"M_atx","chemical","SFE-SH-1S",FALSE,FALSE,0
"M_atx","chemical_w_cover","SFE-M-1S",FALSE,FALSE,0
"M_atx","chemical_w_cover","SFE-M-2",FALSE,FALSE,0
"M_atx","chemical_w_cover","SFE-M-3",FALSE,FALSE,0
"M_atx","chemical_w_cover","SFE-M-4",FALSE,FALSE,0
"M_atx","chemical_w_cover","SFE-SH-1S",FALSE,FALSE,0
"M_atx","ecohydrological","SFE-M-1S",TRUE,TRUE,14364
"M_atx","ecohydrological","SFE-M-2",FALSE,TRUE,13861
"M_atx","ecohydrological","SFE-M-3",FALSE,TRUE,13884
"M_atx","ecohydrological","SFE-M-4",TRUE,TRUE,13794
"M_atx","ecohydrological","SFE-SH-1S",FALSE,TRUE,13759
"M_atx","ecohydrological_w_cover","SFE-M-1S",FALSE,TRUE,14383
"M_atx","ecohydrological_w_cover","SFE-M-2",FALSE,TRUE,13440
"M_atx","ecohydrological_w_cover","SFE-M-3",FALSE,TRUE,14109
"M_atx","ecohydrological_w_cover","SFE-M-4",TRUE,TRUE,14661
"M_atx","ecohydrological_w_cover","SFE-SH-1S",FALSE,TRUE,13554
"M_atx","physical","SFE-M-1S",FALSE,TRUE,7874
"M_atx","physical","SFE-M-2",FALSE,TRUE,10114
"M_atx","physical","SFE-M-3",FALSE,TRUE,10377
"M_atx","physical","SFE-M-4",FALSE,TRUE,5847
"M_atx","physical","SFE-SH-1S",FALSE,TRUE,4384
"M_atx","physical_w_cover","SFE-M-1S",FALSE,TRUE,7586
"M_atx","physical_w_cover","SFE-M-2",FALSE,TRUE,7767
"M_atx","physical_w_cover","SFE-M-3",FALSE,TRUE,10732
"M_atx","physical_w_cover","SFE-M-4",FALSE,TRUE,12970
"M_atx","physical_w_cover","SFE-SH-1S",FALSE,TRUE,3630
"M_atx","physicochemical","SFE-M-1S",FALSE,TRUE,10468
"M_atx","physicochemical","SFE-M-2",FALSE,TRUE,13427
"M_atx","physicochemical","SFE-M-3",FALSE,TRUE,13110
"M_atx","physicochemical","SFE-M-4",FALSE,TRUE,7785
"M_atx","physicochemical","SFE-SH-1S",FALSE,TRUE,10072
"M_atx","physicochemical_w_cover","SFE-M-1S",FALSE,TRUE,9564
"M_atx","physicochemical_w_cover","SFE-M-2",FALSE,TRUE,12322
"M_atx","physicochemical_w_cover","SFE-M-3",FALSE,TRUE,12879
"M_atx","physicochemical_w_cover","SFE-M-4",FALSE,TRUE,13919
"M_atx","physicochemical_w_cover","SFE-SH-1S",FALSE,TRUE,9519
"AC_atx","all","SFE-M-1S",FALSE,TRUE,14606
"AC_atx","all","SFE-M-2",TRUE,TRUE,14965
"AC_atx","all","SFE-M-3",TRUE,TRUE,14874
"AC_atx","all","SFE-M-4",TRUE,TRUE,14944
"AC_atx","all","SFE-SH-1S",TRUE,TRUE,14935
"AC_atx","all_w_cover","SFE-M-1S",TRUE,TRUE,14945
"AC_atx","all_w_cover","SFE-M-2",TRUE,TRUE,14865
"AC_atx","all_w_cover","SFE-M-3",TRUE,TRUE,14897
"AC_atx","all_w_cover","SFE-M-4",TRUE,TRUE,14960
"AC_atx","all_w_cover","SFE-SH-1S",TRUE,TRUE,14949
"AC_atx","biochemical","SFE-M-1S",FALSE,FALSE,0
"AC_atx","biochemical","SFE-M-2",FALSE,FALSE,0
"AC_atx","biochemical","SFE-M-3",FALSE,FALSE,0
"AC_atx","biochemical","SFE-M-4",FALSE,FALSE,0
"AC_atx","biochemical","SFE-SH-1S",FALSE,TRUE,14200
"AC_atx","biochemical_w_cover","SFE-M-1S",FALSE,TRUE,17
"AC_atx","biochemical_w_cover","SFE-M-2",FALSE,FALSE,0
"AC_atx","biochemical_w_cover","SFE-M-3",FALSE,FALSE,0
"AC_atx","biochemical_w_cover","SFE-M-4",FALSE,TRUE,5
"AC_atx","biochemical_w_cover","SFE-SH-1S",TRUE,TRUE,14750
"AC_atx","biological","SFE-M-1S",FALSE,FALSE,0
"AC_atx","biological","SFE-M-2",FALSE,FALSE,0
"AC_atx","biological","SFE-M-3",FALSE,FALSE,0
"AC_atx","biological","SFE-M-4",FALSE,FALSE,0
"AC_atx","biological","SFE-SH-1S",FALSE,TRUE,5489
"AC_atx","biological_w_cover","SFE-M-1S",FALSE,FALSE,0
"AC_atx","biological_w_cover","SFE-M-2",FALSE,FALSE,0
"AC_atx","biological_w_cover","SFE-M-3",FALSE,FALSE,0
"AC_atx","biological_w_cover","SFE-M-4",FALSE,FALSE,0
