"Date","taxa","mean","sd","min","max"
2024-06-19,"ana_cyl",0,0,0,0
2024-06-19,"microcoleus",0,0,0,0
2024-07-02,"ana_cyl",0,0,0,0
2024-07-02,"microcoleus",0.112745098039216,0.157168819038053,-0.0444237209988372,0.269913917077269
2024-07-17,"ana_cyl",0,0,0,0
2024-07-17,"microcoleus",1.17543859649123,0.679923592107933,0.495515004383295,1.85536218859916
2024-07-31,"ana_cyl",0.138235294117647,0.171397673933335,-0.0331623798156878,0.309632968050982
2024-07-31,"microcoleus",2.18312693498452,0.913470613452152,1.26965632153237,3.09659754843667
2024-08-14,"ana_cyl",0.348710010319917,0.486328165158132,-0.137618154838215,0.83503817547805
2024-08-14,"microcoleus",8.50552115583075,4.93499380955145,3.57052734627931,13.4405149653822
2024-08-26,"ana_cyl",1.87982456140351,1.57447677695337,0.305347784450134,3.45430133835688
2024-08-26,"microcoleus",12.1543859649123,9.521571842824,2.63281412208828,21.6759578077363
2024-09-14,"ana_cyl",8.78809523809524,17.0315529064925,-8.24345766839722,25.8196481445877
2024-09-14,"microcoleus",5.57380952380952,7.13386682897042,-1.5600573051609,12.7076763527799
2024-09-27,"ana_cyl",0.0166666666666667,0.0333333333333333,-0.0166666666666667,0.05
2024-09-27,"microcoleus",6.03508771929825,9.01081734240622,-2.97572962310797,15.0459050617045
2024-10-10,"ana_cyl",0.133333333333333,0.266666666666667,-0.133333333333333,0.4
2024-10-10,"microcoleus",3.37409700722394,4.42315116715221,-1.04905415992826,7.79724817437615
