"field_date","site_reach","sample_type","Chla_ug_mg","Pheo_ug_mg"
"6/29/2022","SFE-M-3","TM",7.98472078972217,0.0938230409841889
"6/29/2022","SFE-M-4","TM",4.89478335918051,0.0300269388954029
"7/12/2022","SAL-2","TM",4.58228623740764,0.138070218114172
"7/14/2022","SFE-M-1S","TM",5.75353875355326,0.0351976523205971
"7/28/2022","SFE-M-3","TM",8.89693867753363,0.0866011493829818
"8/10/2022","SFE-M-1S","TM",9.09464306210352,0.0702173943441885
"7/12/2022","SAL-1S","TM",4.9260900162699,0.0963532590070105
"7/12/2022","SAL-3","TM",6.41015787542345,0.0379092324765811
"7/26/2022","SAL-2","TM",3.76242361521675,0.173326779458521
"8/10/2022","SFE-M-3","TM",9.4514240059212,0.0205750638236494
"8/10/2022","SFE-M-4","TM",5.31007858543501,1.07160310097627
"9/6/2022","SFE-M-3","TM",8.00300740759614,0.241753703028422
"9/8/2022","SFE-M-1S","TM",5.15995975929171,0.487214539171527
"9/17/2022","SFE-M-1S","TM",5.8679352594907,0.706779257420591
"8/23/2022","SFE-M-3","TM",9.08464286754923,0.428651918090983
"7/20/2022","RUS-3","TAC",3.29908397733518,0.400976823586325
"7/28/2022","SFE-M-3","TAC",8.24848141445624,1.34880755624819
"8/2/2022","RUS-1S","TAC",3.6618982348506,1.10740013371711
"8/2/2022","RUS-3","TAC",4.09149488127995,0.827645721928693
"7/14/2022","SFE-M-1S","TAC",3.23407962958796,0.963076998443193
"7/14/2022","SFE-M-4","TAC",2.79342850439403,1.12691458205527
"8/10/2022","SFE-M-1S","TAC",8.52211664931474,0.793773801365911
"8/10/2022","SFE-M-3","TAC",5.55304235694961,0.677695569420401
"8/10/2022","SFE-M-4","TAC",3.00542385066444,1.04092706012453
"8/17/2022","RUS-1S","TAC",3.92118343166071,0.979220714156785
"8/17/2022","RUS-2","TAC",3.09379500632274,0.486351700213401
"8/17/2022","RUS-3","TAC",4.88371266422706,0.590170937597246
"8/23/2022","SFE-M-3","TAC",4.30394992427735,0.804286940468409
"7/26/2022","SAL-3","TM",5.23913970595773,0.220122993239407
"7/20/2022","RUS-1S","TAC",2.96328018265358,0.411743496902954
"8/2/2022","RUS-2","TAC",4.4182446809663,0.403885382539805
"9/1/2022","RUS-1S","TAC",1.4689656607943,0.628743250031739
"9/1/2022","RUS-2","TAC",2.02919204182806,0.557204242450256
"9/6/2022","SFE-M-1S","TAC",2.22716683129192,0.673366466376277
"9/15/2022","RUS-1S","TAC",2.75772885104398,0.520894459648726
"9/15/2022","RUS-2","TAC",1.60447878335661,0.614331345685896
"9/17/2022","SFE-M-1S","TAC",1.73666133536954,1.11182134046819
"9/22/2022","SAL-3","TAC",2.24971562608797,1.15562040282648
