"field_date","site_reach","site","reach","green_algae","microcoleus","anabaena","bare_biofilm","other_nfixers","micro_transects","ana_transects","total_transects","percent_micro_transects","percent_ana_transects"
2023-06-25,"SFE-SH-1S","SFE-SH","1S",8.81818181818182,0,0,91.1818181818182,0,1,0,11,0.0909090909090909,0
2023-07-03,"SFE-SH-1S","SFE-SH","1S",3.81818181818182,0,0,95.4545454545455,0.727272727272727,1,0,11,0.0909090909090909,0
2023-07-17,"SFE-SH-1S","SFE-SH","1S",14.0909090909091,1.36363636363636,0,84.1818181818182,0.363636363636364,6,0,11,0.545454545454545,0
2023-07-24,"SFE-SH-1S","SFE-SH","1S",38.1818181818182,0.454545454545455,0.181818181818182,60.4545454545455,0.727272727272727,5,4,11,0.454545454545455,0.363636363636364
2023-07-31,"SFE-SH-1S","SFE-SH","1S",37.0909090909091,0,0.0909090909090909,62.0909090909091,0.727272727272727,2,4,11,0.181818181818182,0.363636363636364
2023-08-07,"SFE-SH-1S","SFE-SH","1S",10.5454545454545,0,1.45454545454545,87.1818181818182,0.818181818181818,0,6,11,0,0.545454545454545
2023-08-14,"SFE-SH-1S","SFE-SH","1S",15.9090909090909,0,1.81818181818182,80.2727272727273,2,1,9,11,0.0909090909090909,0.818181818181818
2023-08-22,"SFE-SH-1S","SFE-SH","1S",11.7272727272727,0.545454545454545,0.545454545454545,86.8181818181818,0.363636363636364,7,4,11,0.636363636363636,0.363636363636364
2023-08-28,"SFE-SH-1S","SFE-SH","1S",30.1818181818182,1,0,68.4545454545455,0.363636363636364,8,0,11,0.727272727272727,0
2023-09-04,"SFE-SH-1S","SFE-SH","1S",56,1.27272727272727,0,41.6363636363636,1.09090909090909,8,0,11,0.727272727272727,0
2023-09-12,"SFE-SH-1S","SFE-SH","1S",42.9090909090909,1.90909090909091,0,55.0909090909091,0.0909090909090909,8,0,11,0.727272727272727,0
2023-09-18,"SFE-SH-1S","SFE-SH","1S",49.7272727272727,5.81818181818182,0,44.4545454545455,0,8,6,11,0.727272727272727,0.545454545454545
2023-09-24,"SFE-SH-1S","SFE-SH","1S",28.2727272727273,8.36363636363636,0.363636363636364,62.6363636363636,0.363636363636364,8,4,11,0.727272727272727,0.363636363636364
2023-06-20,"SFE-M-1S","SFE-M","1S",2.27272727272727,0,0,97.7272727272727,0,0,0,11,0,0
2023-06-25,"SFE-M-1S","SFE-M","1S",7.18181818181818,0,0,92.8181818181818,0,0,0,11,0,0
2023-07-03,"SFE-M-1S","SFE-M","1S",10.6363636363636,0,0,88.8181818181818,0.545454545454545,1,0,11,0.0909090909090909,0
2023-07-10,"SFE-M-1S","SFE-M","1S",20.4545454545455,0.454545454545455,0,78.3636363636364,0.727272727272727,2,3,11,0.181818181818182,0.272727272727273
2023-07-17,"SFE-M-1S","SFE-M","1S",15.4545454545455,0,0.363636363636364,82.1818181818182,2,1,5,11,0.0909090909090909,0.454545454545455
2023-07-24,"SFE-M-1S","SFE-M","1S",21.5454545454545,0.909090909090909,0.818181818181818,75.3636363636364,1.36363636363636,2,4,11,0.181818181818182,0.363636363636364
2023-07-31,"SFE-M-1S","SFE-M","1S",28.6363636363636,1.18181818181818,1.54545454545455,67.4545454545455,1.18181818181818,2,8,11,0.181818181818182,0.727272727272727
2023-08-07,"SFE-M-1S","SFE-M","1S",45.4545454545455,0.909090909090909,11.9090909090909,40.5454545454545,1.18181818181818,2,9,11,0.181818181818182,0.818181818181818
2023-08-14,"SFE-M-1S","SFE-M","1S",25.3636363636364,6.13636363636364,9.68181818181818,56.4545454545455,2.36363636363636,9,7,11,0.818181818181818,0.636363636363636
2023-08-22,"SFE-M-1S","SFE-M","1S",29.5454545454545,8,3.72727272727273,56.2727272727273,2.45454545454545,8,10,11,0.727272727272727,0.909090909090909
2023-08-28,"SFE-M-1S","SFE-M","1S",23.5454545454545,8.45454545454546,1.45454545454545,64.0909090909091,2.45454545454545,10,8,11,0.909090909090909,0.727272727272727
2023-09-04,"SFE-M-1S","SFE-M","1S",33.4545454545455,4.81818181818182,4.54545454545455,46.7272727272727,10.4545454545455,7,8,11,0.636363636363636,0.727272727272727
2023-09-12,"SFE-M-1S","SFE-M","1S",28.4545454545455,4.54545454545455,2.90909090909091,57.7272727272727,6.36363636363636,6,7,11,0.545454545454545,0.636363636363636
2023-09-18,"SFE-M-1S","SFE-M","1S",22,9.09090909090909,3.27272727272727,53.3636363636364,12.2727272727273,6,7,11,0.545454545454545,0.636363636363636
2023-09-24,"SFE-M-1S","SFE-M","1S",2,13,2.09090909090909,69.6363636363636,13.2727272727273,3,5,11,0.272727272727273,0.454545454545455
2023-06-20,"SFE-M-2","SFE-M","2",0.6,0,0,99.4,0,1,0,10,0.1,0
2023-06-25,"SFE-M-2","SFE-M","2",0.5,0,0,99.5,0,0,0,10,0,0
