"field_date","site_reach","site","green_algae","microcoleus","anabaena_cylindrospermum","bare_biofilm","other_nfixers","micro_transects","ana_cyl_transects","total_transects","proportion_micro_transects","proportion_ana_cyl_transects","proportion_riffle_rapid_transects","average_depth_cm_sampled","median_depth_cm_sampled"
2022-06-24,"RUS-1S","RUS",38.1818181818182,0,0,61.8181818181818,0,0,0,11,0,0,0,NA,NA
2022-07-06,"RUS-1S","RUS",20,0,0,80,0,0,0,11,0,0,0,42,45
2022-07-20,"RUS-1S","RUS",48.0909090909091,0,0.181818181818182,51.7272727272727,0,0,6,11,0,0.545454545454545,0,40.3636363636364,32
2022-08-02,"RUS-1S","RUS",59.6363636363636,0,0.272727272727273,40.0909090909091,0,0,5,11,0,0.454545454545455,0,42.1818181818182,41
2022-08-17,"RUS-1S","RUS",95.4545454545455,0,1.63636363636364,2.90909090909091,0,0,9,11,0,0.818181818181818,0,40.5454545454545,39
2022-09-01,"RUS-1S","RUS",46.7272727272727,0,7.45454545454545,45.8181818181818,0,0,11,11,0,1,0,41.8181818181818,40
2022-09-15,"RUS-1S","RUS",40.9090909090909,0,2.36363636363636,56.7272727272727,0,0,9,11,0,0.818181818181818,0,43,43
2022-07-06,"RUS-2","RUS",46.3636363636364,0,0,53.6363636363636,0,0,0,11,0,0,0,44.5454545454545,50
2022-07-20,"RUS-2","RUS",59.4545454545455,0,0,40.5454545454545,0,0,3,11,0,0.272727272727273,0,44.9090909090909,49
2022-08-02,"RUS-2","RUS",56.0909090909091,0,0,43.9090909090909,0,0,3,11,0,0.272727272727273,0,47.0909090909091,51
2022-08-17,"RUS-2","RUS",43.4545454545455,0,0.0909090909090909,56.4545454545455,0,0,6,11,0,0.545454545454545,0,46,44
2022-09-01,"RUS-2","RUS",35,0,5,60,0,0,4,11,0,0.363636363636364,0,41.5454545454545,45
2022-09-15,"RUS-2","RUS",32.1818181818182,0,3.72727272727273,64.0909090909091,0,0,6,11,0,0.545454545454545,0,40.7272727272727,35
2022-07-07,"RUS-3","RUS",40.4545454545455,0,0,59.5454545454545,0,0,0,11,0,0,0.181818181818182,36.6363636363636,37
2022-07-20,"RUS-3","RUS",55.2727272727273,0,0,44.7272727272727,0,0,4,11,0,0.363636363636364,0.363636363636364,40.4545454545455,46
2022-08-02,"RUS-3","RUS",63.4545454545455,0,0,36.5454545454545,0,0,5,11,0,0.454545454545455,0.272727272727273,43,50.5
2022-08-17,"RUS-3","RUS",48.1818181818182,0,0,51.8181818181818,0,0,5,11,0,0.454545454545455,0.272727272727273,39.8181818181818,37
2022-09-01,"RUS-3","RUS",51,0,2.27272727272727,46.7272727272727,0,0,3,11,0,0.272727272727273,0.272727272727273,40,45
2022-09-15,"RUS-3","RUS",36.8181818181818,0,0.0909090909090909,63.0909090909091,0,0,4,11,0,0.363636363636364,0.363636363636364,37.6363636363636,44
2022-06-27,"SAL-1S","SAL",0,0,0,100,0,0,0,11,0,0,0,NA,NA
2022-07-12,"SAL-1S","SAL",2.18181818181818,7.72727272727273,0,90.0909090909091,0,8,0,11,0.727272727272727,0,0.454545454545455,44.0909090909091,46
2022-07-26,"SAL-1S","SAL",12.6,27.7,0,59.7,0,8,0,10,0.8,0,0.3,40.2,40.5
2022-09-22,"SAL-1S","SAL",69.0909090909091,0,0,30.9090909090909,0,0,0,11,0,0,0.363636363636364,39.4545454545455,36
2022-07-12,"SAL-2","SAL",0,3.18181818181818,0,96.8181818181818,0,6,0,11,0.545454545454545,0,0.363636363636364,30.6363636363636,30
2022-07-26,"SAL-2","SAL",0.545454545454545,13.2727272727273,0,86.1818181818182,0,9,0,11,0.818181818181818,0,0.181818181818182,33.7272727272727,36
2022-09-22,"SAL-2","SAL",57.9090909090909,0,0,42.0909090909091,0,0,0,11,0,0,0.363636363636364,28.9090909090909,32
2022-06-27,"SAL-3","SAL",0,0,0,100,0,0,0,11,0,0,0,NA,NA
2022-07-12,"SAL-3","SAL",0.363636363636364,1.36363636363636,0,98.2727272727273,0,2,0,11,0.181818181818182,0,0,49.0909090909091,50
2022-07-26,"SAL-3","SAL",0.0909090909090909,5.90909090909091,0,94,0,4,0,11,0.363636363636364,0,0,45,44
2022-09-22,"SAL-3","SAL",40,0,0.0909090909090909,59.9090909090909,0,0,4,11,0,0.363636363636364,0,41.4545454545455,43
2022-06-29,"SFE-M-1S","SFE-M",4.36363636363636,0.636363636363636,0,91.8181818181818,3.18181818181818,4,0,11,0.363636363636364,0,0.363636363636364,42.1818181818182,40
