"field_date","site","green_algae","microcoleus","anabaena","bare_biofilm","other_nfixers","micro_transects","ana_transects","total_transects","percent_micro_transects","percent_ana_transects"
2022-06-24,"RUS",38.1818181818182,0,0,61.8181818181818,0,0,0,11,0,0
2022-07-06,"RUS",35.6060606060606,0,0,64.3939393939394,0,0,0,33,0,0
2022-07-20,"RUS",54.2727272727273,0,0.0606060606060606,45.6666666666667,0,0,13,33,0,0.393939393939394
2022-08-02,"RUS",59.7272727272727,0,0.0909090909090909,40.1818181818182,0,0,13,33,0,0.393939393939394
2022-08-17,"RUS",62.3636363636364,0,0.575757575757576,37.0606060606061,0,0,20,33,0,0.606060606060606
2022-09-01,"RUS",44.2424242424242,0,4.90909090909091,50.8484848484849,0,0,18,33,0,0.545454545454545
2022-09-15,"RUS",36.6363636363636,0,2.06060606060606,61.3030303030303,0,0,19,33,0,0.575757575757576
2022-06-27,"SAL",0,0,0,100,0,0,0,22,0,0
2022-07-12,"SAL",0.848484848484849,4.09090909090909,0,95.0606060606061,0,16,0,33,0.484848484848485,0
2022-07-26,"SAL",4.15625,15.25,0,80.59375,0,21,0,32,0.65625,0
2022-09-22,"SAL",55.6666666666667,0,0.0303030303030303,44.3030303030303,0,0,4,33,0,0.121212121212121
2022-06-29,"SFE-M",10.1515151515152,0.303030303030303,0,87.2424242424242,2.3030303030303,14,0,33,0.424242424242424,0
2022-07-14,"SFE-M",34.4545454545455,0.606060606060606,0.696969696969697,60.1818181818182,4.06060606060606,4,17,33,0.121212121212121,0.515151515151515
2022-07-28,"SFE-M",35.9393939393939,0.848484848484849,19.6666666666667,42.6969696969697,0.848484848484849,9,32,33,0.272727272727273,0.96969696969697
2022-08-10,"SFE-M",55.6363636363636,4.18181818181818,1.93939393939394,36.7878787878788,1.45454545454545,24,25,33,0.727272727272727,0.757575757575758
2022-08-23,"SFE-M",45.5454545454545,2.42424242424242,0.303030303030303,51.2424242424242,0.484848484848485,8,2,33,0.242424242424242,0.0606060606060606
2022-09-06,"SFE-M",38.5757575757576,4.09090909090909,0.0303030303030303,55.2121212121212,2.09090909090909,9,3,33,0.272727272727273,0.0909090909090909
2022-09-17,"SFE-M",26.8484848484848,7.78787878787879,0.818181818181818,63.1212121212121,1.42424242424242,12,7,33,0.363636363636364,0.212121212121212
